"idPedido","lonCarga","latCarga","lonDescarga","latDescarga","categoria","prioridad","startSlot","endSlot","lastDate"
"2104AR044-001",-7.08026,43.41068,-8.69361,42.67435,M3,0,"08:00","12:00","2022-08-11"
"2104AR042-016",-7.08424,43.40524,-8.99762,42.55629,M3,0,"08:00","12:00","2022-08-30"
"2211AR075-002",-8.57905,43.08507,-8.58025,42.99208,M1,0,"08:00","12:00","2022-08-05"
"1907AR441-027",-7.68935,43.54578,-8.59014,42.67728,M2,0,"08:00","12:00","2022-08-08"
"2202AP001-011",-5.95018,43.3358,-8.24129,42.4599,M1,0,"08:00","12:00","2022-09-04"
"2117AP033-006",-8.48014,42.20308,-7.79106,43.6314,M2,0,"08:00","12:00","2022-08-21"
"2117AR013-006",-8.53632,42.12827,-7.79058,43.63333,M2,0,"08:00","12:00","2022-08-13"
"2107AR164-042",-7.70967,43.50616,-8.13116,43.52617,M3,0,"08:00","12:00","2022-09-14"
"2104AR035-022",-7.01466,43.49168,-8.66168,42.49812,M3,0,"08:00","12:00","2022-08-20"
"2104AR035-020",-7.01341,43.4914,-8.65462,42.49177,M3,0,"08:00","12:00","2022-09-02"
"2104AR035-015",-7.01933,43.49106,-8.65946,42.49783,M3,0,"08:00","12:00","2022-08-25"
"2108AR008-001",-7.90912,43.67848,-7.97265,43.54639,M2,0,"08:00","12:00","2022-08-25"
"1905AP005-001",-7.21493,43.35535,-8.41143,42.32954,M2,0,"08:00","12:00","2022-08-19"
"2111AR098-002",-8.43829,43.21439,-6.04404,43.47589,M3,0,"08:00","12:00","2022-09-03"
"2111AR098-003",-8.44406,43.1961,-6.0451,43.47597,M3,0,"08:00","12:00","2022-08-24"
"2108AR197-001",-8.01025,43.61348,-7.30697,43.44073,M3,0,"08:00","12:00","2022-08-30"
"1906AR152-002",-7.51456,43.48517,-8.55823,42.55813,M2,0,"08:00","12:00","2022-08-01"
"2208AZ150-001",-8.02937,43.49389,-8.63123,42.50774,M1,0,"08:00","12:00","2022-08-09"
"2208AR211-001",-8.11723,43.4898,-8.50718,42.54292,M1,0,"08:00","12:00","2022-08-20"
"2107AR118-007",-7.6881,43.54603,-8.15133,43.27363,M3,0,"08:00","12:00","2022-08-25"
"2212AP008-010",-8.93672,43.24814,-8.55889,42.96307,M1,0,"08:00","12:00","2022-08-11"
"1902AR067-006",-5.99309,43.33154,-8.54191,42.10402,M2,0,"08:00","12:00","2022-08-18"
"2003AP002-008",-6.16268,43.47461,-8.87595,42.92494,M2,0,"08:00","12:00","2022-08-12"
"2208AR196-004",-8.01968,43.66323,-8.50736,42.54249,M1,0,"08:00","12:00","2022-09-11"
"2104AR035-026",-7.0035,43.49721,-8.75914,42.43177,M3,0,"08:00","12:00","2022-08-01"
"2207AP007-001",-7.70223,43.58374,-8.20266,42.16428,M1,0,"08:00","12:00","2022-09-12"
"2102AR074-008",-5.84099,43.4621,-8.10808,43.30571,M2,0,"08:00","12:00","2022-08-25"
"2202AP001-007",-5.94736,43.33801,-7.93774,42.54001,M1,0,"08:00","12:00","2022-08-15"
"1802AR008-001",-5.95936,43.49343,-7.38009,43.16103,M2,0,"08:00","12:00","2022-08-29"
"2002AR056-001",-5.79491,43.60241,-8.87518,42.92576,M2,0,"08:00","12:00","2022-08-06"
"2002AR044-001",-5.87857,43.5155,-8.87512,42.92624,M2,0,"08:00","12:00","2022-08-28"
"2015AP002-004",-8.51441,42.57682,-8.21243,43.21255,M2,0,"08:00","12:00","2022-08-12"
"1906AR062-005",-7.37901,43.57094,-8.55764,42.56454,M2,0,"08:00","12:00","2022-09-08"
"2014AR077-002",-8.83073,42.83939,-8.2929,43.27206,M2,0,"08:00","12:00","2022-09-08"
"2110AR056-002",-8.05562,43.23911,-8.04376,42.51616,M0,0,"08:00","12:00","2022-09-03"
"2105AR101-012",-7.1301,43.48684,-8.82519,43.29497,M3,0,"08:00","12:00","2022-09-09"
"2107AR190-001",-7.54526,43.58104,-8.01101,43.63171,M3,0,"08:00","12:00","2022-08-28"
"2014AP010-007",-8.68423,42.78012,-8.18374,43.27536,M2,0,"08:00","12:00","2022-09-07"
"2014AP010-008",-8.68164,42.79204,-8.18435,43.27538,M2,0,"08:00","12:00","2022-08-24"
"2107AR100-006",-7.68971,43.55309,-8.3993,43.24054,M3,0,"08:00","12:00","2022-08-27"
"1808AR188-011",-8.04571,43.54825,-7.25921,42.97853,M2,0,"08:00","12:00","2022-08-15"
"2116AR049-009",-8.79311,42.29475,-8.53113,42.1398,M3,0,"08:00","12:00","2022-08-23"
"2107AR100-016",-7.69034,43.54517,-8.29098,43.26751,M3,0,"08:00","12:00","2022-08-25"
"2201AR004-002",-5.56355,43.49166,-7.82051,43.64743,M2,0,"08:00","12:00","2022-08-23"
"2113AP010-001",-8.13309,43.04659,-7.77031,43.35092,M1,0,"08:00","12:00","2022-08-10"
"2105AR057-006",-7.22828,43.34023,-8.82774,43.12356,M3,0,"08:00","12:00","2022-08-25"
"2107AR118-009",-7.68856,43.54579,-8.12228,43.27989,M3,0,"08:00","12:00","2022-08-26"
"2108AP002-005",-7.75313,43.6744,-7.98584,43.54128,M2,0,"08:00","12:00","2022-08-12"
"2001AR016-005",-5.25352,43.46373,-7.8324,42.34129,M3,0,"08:00","12:00","2022-08-01"
"2212AR050-001",-8.72843,43.01345,-8.86392,43.03121,M1,0,"08:00","12:00","2022-08-03"
"2021AR112-003",-7.20252,43.22544,-8.19581,43.15812,M2,0,"08:00","12:00","2022-08-05"
"2203AR016-005",-6.14761,43.4942,-7.56842,42.09604,M1,0,"08:00","12:00","2022-08-16"
"2105AP002-001",-7.19936,43.37593,-7.17513,42.87018,M1,0,"08:00","12:00","2022-08-24"
"2104AR049-001",-7.07937,43.41328,-8.56419,42.98881,M3,0,"08:00","12:00","2022-08-13"
"2104AR048-003",-7.10002,43.40205,-8.56454,42.98834,M3,0,"08:00","12:00","2022-08-26"
"2107AR100-017",-7.69105,43.54414,-8.29113,43.26757,M3,0,"08:00","12:00","2022-08-15"
"2107AR198-001",-7.5728,43.60994,-8.01409,43.63141,M3,0,"08:00","12:00","2022-09-14"
"2104AR040-004",-7.08454,43.40384,-8.77134,42.57804,M3,0,"08:00","12:00","2022-08-07"
"2200AR024-004",-3.24708,43.39126,-7.98324,43.60352,M2,0,"08:00","12:00","2022-09-10"
"2212AP009-008",-8.9368,43.24752,-8.56444,42.96637,M1,0,"08:00","12:00","2022-09-13"
"2115AR121-002",-8.40547,42.53393,-8.447,42.26617,M3,0,"08:00","12:00","2022-09-14"
"2209AR049-001",-7.96999,43.39242,-8.56873,42.49015,M1,0,"08:00","12:00","2022-08-13"
"2103AR088-001",-6.28,43.42153,-8.69959,42.31384,M3,0,"08:00","12:00","2022-08-23"
"2107AR187-001",-7.68533,43.54754,-8.01216,43.62062,M3,0,"08:00","12:00","2022-08-06"
"2118AP002-006",-8.12269,42.48647,-7.7002,43.3627,M1,0,"08:00","12:00","2022-09-08"
"2021AR112-001",-7.20322,43.22633,-8.19509,43.15649,M2,0,"08:00","12:00","2022-09-06"
"2208AR163-003",-7.81886,43.62827,-8.69838,42.32399,M1,0,"08:00","12:00","2022-08-18"
"2103AR082-001",-6.39651,43.52391,-8.56001,42.38777,M3,0,"08:00","12:00","2022-08-18"
"2112AR157-001",-8.8224,43.17382,-7.06064,43.00154,M3,0,"08:00","12:00","2022-08-06"
"2117AP033-008",-8.48043,42.19525,-7.79496,43.6311,M2,0,"08:00","12:00","2022-08-13"
"2108AR060-002",-8.04372,43.6321,-7.99844,43.61647,M3,0,"08:00","12:00","2022-08-04"
"2200AR024-003",-3.2474,43.39215,-8.00905,43.62614,M2,0,"08:00","12:00","2022-08-26"
"2211AR074-001",-8.56589,43.16894,-8.56684,42.98658,M1,0,"08:00","12:00","2022-09-11"
"2105AR104-003",-7.20376,43.46333,-8.75956,43.02718,M3,0,"08:00","12:00","2022-08-03"
"1905AP005-004",-7.21423,43.35565,-8.41502,42.34068,M2,0,"08:00","12:00","2022-08-06"
"1806AR041-001",-7.39502,43.50919,-7.25599,43.05194,M2,0,"08:00","12:00","2022-09-01"
"2108AR252-005",-7.98051,43.50423,-7.1386,43.4688,M3,0,"08:00","12:00","2022-09-06"
"2104AR048-004",-7.10093,43.40216,-8.56323,42.98977,M3,0,"08:00","12:00","2022-09-10"
"2200AR002-001",-4.30369,43.22406,-8.085,43.57772,M2,0,"08:00","12:00","2022-08-25"
"2014AR096-006",-8.72044,42.73024,-8.74115,42.11094,M3,0,"08:00","12:00","2022-08-31"
"2017AR038-001",-8.33224,42.24906,-8.74439,42.11188,M3,0,"08:00","12:00","2022-08-14"
"1905AR021-005",-7.05558,43.50188,-8.4504,42.40371,M2,0,"08:00","12:00","2022-08-14"
"2108AR254-001",-7.80045,43.64795,-7.08791,43.40538,M3,0,"08:00","12:00","2022-08-20"
"2003AP002-003",-6.16189,43.47454,-8.87544,42.9246,M2,0,"08:00","12:00","2022-08-04"
"2014AP001-006",-8.76385,42.69065,-8.52985,43.10847,M2,0,"08:00","12:00","2022-08-06"
"2201AP005-001",-4.63039,43.39019,-7.81537,43.64339,M2,0,"08:00","12:00","2022-08-13"
"2107AR164-023",-7.71092,43.50583,-7.93175,43.58362,M3,0,"08:00","12:00","2022-08-30"
"2104AR040-003",-7.08184,43.40765,-8.77131,42.57816,M3,0,"08:00","12:00","2022-08-16"
"2212AP009-006",-8.93712,43.24733,-8.56519,42.96731,M1,0,"08:00","12:00","2022-09-05"
"2107AR164-060",-7.7076,43.50675,-8.02483,43.70518,M3,0,"08:00","12:00","2022-08-05"
"2208AR163-014",-7.82051,43.62346,-8.54272,42.41114,M1,0,"08:00","12:00","2022-08-02"
"1905AR164-003",-7.05594,43.50216,-8.54265,42.42351,M2,0,"08:00","12:00","2022-09-04"
"1905AR164-002",-7.05616,43.50222,-8.54375,42.42788,M2,0,"08:00","12:00","2022-08-02"
"2014AP001-003",-8.76475,42.68701,-8.56624,43.13795,M2,0,"08:00","12:00","2022-09-03"
"2107AR100-002",-7.68838,43.55258,-8.49399,43.22317,M3,0,"08:00","12:00","2022-08-10"
"2212AP009-010",-8.93672,43.24814,-8.56365,42.9671,M1,0,"08:00","12:00","2022-08-21"
"2116AR059-004",-8.64409,42.37689,-8.57207,42.17849,M3,0,"08:00","12:00","2022-08-08"
"2209AR038-001",-8.0659,43.28076,-8.57047,42.49437,M1,0,"08:00","12:00","2022-09-04"
"2209AR030-002",-7.98574,43.41008,-8.56692,42.49752,M1,0,"08:00","12:00","2022-08-16"
"2116AR068-001",-8.64582,42.38312,-8.50225,42.30713,M3,0,"08:00","12:00","2022-08-06"
"2116AR066-001",-8.64579,42.38317,-8.50423,42.30794,M3,0,"08:00","12:00","2022-08-29"
"2103AR072-002",-6.02463,43.46772,-8.52948,42.4048,M3,0,"08:00","12:00","2022-08-27"
"2108AR252-003",-7.981,43.50368,-7.06397,43.48186,M3,0,"08:00","12:00","2022-08-29"
"2107AR114-001",-7.61901,43.65232,-8.22842,43.16659,M3,0,"08:00","12:00","2022-08-21"
"2208AR163-009",-7.82043,43.62462,-8.54272,42.41114,M1,0,"08:00","12:00","2022-09-10"
"2005AR131-003",-7.05347,43.51036,-8.98756,42.63901,M2,0,"08:00","12:00","2022-08-19"
"2103AR088-003",-6.2793,43.42229,-7.83036,43.55986,M2,0,"08:00","12:00","2022-08-10"
"2005AR124-004",-7.05346,43.50562,-8.99661,42.63677,M2,0,"08:00","12:00","2022-08-13"
"2103AR044-001",-6.09677,43.47372,-7.83348,43.56261,M2,0,"08:00","12:00","2022-09-03"
"2108AR177-001",-7.88135,43.70262,-7.68583,43.55325,M3,0,"08:00","12:00","2022-08-13"
"2201AR004-001",-5.56334,43.49128,-7.82024,43.64746,M2,0,"08:00","12:00","2022-08-15"
"2107AR110-001",-7.69092,43.54709,-8.16375,43.26558,M3,0,"08:00","12:00","2022-09-09"
"2112AP002-005",-8.71723,43.0011,-7.91451,43.49227,M2,0,"08:00","12:00","2022-08-03"
"2112AP002-004",-8.71917,43.0016,-7.92113,43.4974,M2,0,"08:00","12:00","2022-08-24"
"2108AP001-005",-7.75456,43.6788,-7.92748,43.59033,M2,0,"08:00","12:00","2022-09-11"
"2112AP002-014",-8.72308,43.00101,-7.81545,43.67275,M2,0,"08:00","12:00","2022-08-28"
"1808AR188-021",-8.01785,43.55307,-7.6978,43.00342,M3,0,"08:00","12:00","2022-08-26"
"2112AP002-003",-8.71801,43.00336,-7.91803,43.49336,M2,0,"08:00","12:00","2022-08-06"
"2008AR074-002",-7.7208,43.63319,-8.76533,43.14278,M2,0,"08:00","12:00","2022-09-14"
"2108AR191-005",-7.97575,43.50538,-7.38779,43.43227,M3,0,"08:00","12:00","2022-08-29"
"2112AP002-016",-8.72386,43.00114,-8.01064,43.632,M2,0,"08:00","12:00","2022-08-02"
"2106AP002-001",-7.34101,43.39653,-7.89631,43.00155,M1,0,"08:00","12:00","2022-08-10"
"2010AR074-003",-8.1955,43.18719,-9.01352,43.07254,M2,0,"08:00","12:00","2022-09-11"
"2009AR025-001",-8.12539,43.46536,-8.7674,43.14877,M2,0,"08:00","12:00","2022-08-19"
"2204AR043-005",-7.01889,43.49194,-7.13562,43.47807,M2,0,"08:00","12:00","2022-08-18"
"2104AR049-004",-7.08505,43.40882,-8.56407,43.00204,M3,0,"08:00","12:00","2022-09-12"
"2114AR066-001",-8.60443,42.77321,-8.41317,42.27008,M3,0,"08:00","12:00","2022-09-04"
"1907AR228-001",-7.63399,43.63588,-8.6762,42.61967,M2,0,"08:00","12:00","2022-09-01"
"2208AR128-001",-7.95277,43.63945,-8.66699,42.25399,M1,0,"08:00","12:00","2022-08-07"
"2210AZ033-003",-8.45515,43.32357,-8.5799,42.50774,M1,0,"08:00","12:00","2022-08-19"
"1907AR441-005",-7.69152,43.54797,-8.58989,42.67921,M2,0,"08:00","12:00","2022-09-14"
"2210AZ033-002",-8.44567,43.32437,-8.57451,42.50677,M1,0,"08:00","12:00","2022-08-07"
"2210AZ033-001",-8.45522,43.32152,-8.58046,42.51264,M1,0,"08:00","12:00","2022-08-10"
"2210AR050-001",-8.27654,43.2174,-8.57839,42.50727,M1,0,"08:00","12:00","2022-09-03"
"2209AR040-001",-8.05355,43.39235,-8.56814,42.48884,M1,0,"08:00","12:00","2022-08-10"
"2208AR189-001",-7.96732,43.49064,-8.77342,42.4241,M1,0,"08:00","12:00","2022-09-03"
"2208AR128-002",-7.96215,43.63966,-8.6668,42.25406,M1,0,"08:00","12:00","2022-08-06"
"2013AP004-006",-8.72817,42.98866,-8.51576,43.09251,M2,0,"08:00","12:00","2022-08-12"
"2105AP003-007",-7.19887,43.36948,-7.89653,43.00253,M1,0,"08:00","12:00","2022-09-08"
"2113AR061-001",-8.60843,42.80551,-7.82221,42.81681,M3,0,"08:00","12:00","2022-08-09"
"2006AP005-001",-7.38911,43.61098,-8.3564,42.86035,M2,0,"08:00","12:00","2022-08-11"
"2107AR100-011",-7.68803,43.54609,-8.56475,43.30847,M3,0,"08:00","12:00","2022-08-10"
"2108AP001-008",-7.75375,43.67639,-7.92942,43.58588,M2,0,"08:00","12:00","2022-08-28"
"2108AP001-006",-7.74989,43.68093,-7.92802,43.59007,M2,0,"08:00","12:00","2022-09-04"
"2113AR062-002",-8.59517,42.89886,-7.74992,42.80691,M3,0,"08:00","12:00","2022-09-03"
"2208AR163-007",-7.81763,43.62524,-8.54272,42.41114,M1,0,"08:00","12:00","2022-09-09"
"2208AR163-006",-7.81803,43.62803,-8.52683,42.41951,M1,0,"08:00","12:00","2022-08-03"
"2210AR048-001",-8.1128,43.08649,-8.5752,42.50364,M1,0,"08:00","12:00","2022-09-06"
"2210AR040-001",-8.14598,43.06612,-8.5753,42.50298,M1,0,"08:00","12:00","2022-09-03"
"2210AR032-006",-8.10391,43.14607,-8.57436,42.50136,M1,0,"08:00","12:00","2022-08-14"
"2209AR040-004",-8.06275,43.38086,-8.56887,42.49071,M1,0,"08:00","12:00","2022-08-31"
"2209AR040-011",-8.05765,43.36904,-8.56859,42.49054,M1,0,"08:00","12:00","2022-08-22"
"1901AR002-019",-5.57622,43.47884,-7.98058,42.54537,M2,0,"08:00","12:00","2022-08-15"
"1901AR002-013",-5.57764,43.4794,-8.00429,42.54856,M2,0,"08:00","12:00","2022-08-20"
"1901AR002-012",-5.58025,43.47995,-8.00484,42.54794,M2,0,"08:00","12:00","2022-09-11"
"1918AR015-004",-8.17945,42.5504,-8.01093,42.54457,M3,0,"08:00","12:00","2022-08-19"
"1901AR001-003",-5.43258,43.44131,-8.00341,42.54858,M2,0,"08:00","12:00","2022-08-02"
"1901AR001-002",-5.43552,43.44789,-8.00449,42.54529,M2,0,"08:00","12:00","2022-08-19"
"2104AR039-003",-7.06392,43.3937,-8.65996,42.39427,M3,0,"08:00","12:00","2022-08-05"
"1901AR002-010",-5.58316,43.48181,-8.00561,42.5461,M2,0,"08:00","12:00","2022-08-08"
"1808AR188-010",-8.0455,43.5485,-7.2596,42.97449,M2,0,"08:00","12:00","2022-08-18"
"2107AR096-002",-7.61856,43.67865,-8.55901,43.18925,M3,0,"08:00","12:00","2022-08-23"
"2006AP004-001",-7.38799,43.60314,-8.35804,42.86118,M2,0,"08:00","12:00","2022-08-06"
"2200AZ005-005",-3.95684,43.38257,-8.00066,42.73196,M1,0,"08:00","12:00","2022-08-09"
"2200AZ005-003",-3.95552,43.38234,-8.0002,42.73199,M1,0,"08:00","12:00","2022-08-29"
"2108AR124-001",-7.91561,43.7003,-7.96017,43.50952,M3,0,"08:00","12:00","2022-08-17"
"2108AR115-002",-8.00791,43.63782,-7.92098,43.64893,M3,0,"08:00","12:00","2022-09-02"
"2108AR115-001",-8.00833,43.63719,-7.9209,43.64881,M3,0,"08:00","12:00","2022-08-20"
"2002AR077-001",-5.88387,43.50825,-8.22558,42.24381,M3,0,"08:00","12:00","2022-08-17"
"2001AR037-002",-5.16694,43.43539,-8.23073,42.23807,M3,0,"08:00","12:00","2022-08-06"
"2107AR164-013",-7.71054,43.49981,-8.23947,43.26248,M3,0,"08:00","12:00","2022-08-24"
"2108AR094-001",-8.00738,43.63791,-8.00821,43.62604,M3,0,"08:00","12:00","2022-09-10"
"2200AZ025-001",-4.1394,43.31298,-8.0006,42.73201,M1,0,"08:00","12:00","2022-08-26"
"1918AR015-005",-8.18155,42.54591,-8.00838,42.54863,M3,0,"08:00","12:00","2022-08-20"
"2205AR010-003",-7.17058,43.50793,-7.13087,43.49644,M2,0,"08:00","12:00","2022-09-05"
"2108AR134-001",-7.79693,43.67148,-8.13036,43.52539,M3,0,"08:00","12:00","2022-08-06"
"2205AR058-003",-7.097,43.46791,-8.77616,42.05038,M1,0,"08:00","12:00","2022-08-23"
"2113AP007-001",-8.59794,42.79243,-8.00967,43.62013,M2,0,"08:00","12:00","2022-08-07"
"2108AR132-004",-7.78535,43.68275,-8.13709,43.52589,M3,0,"08:00","12:00","2022-08-12"
"2107AR108-007",-7.68825,43.54594,-8.21215,43.21765,M3,0,"08:00","12:00","2022-08-17"
"2208AR102-005",-8.00801,43.62528,-8.80988,42.27772,M1,0,"08:00","12:00","2022-08-12"
"2111AR111-001",-8.62704,43.19824,-5.56524,43.49068,M3,0,"08:00","12:00","2022-09-05"
"2008AR059-003",-7.7943,43.70266,-8.72926,43.00775,M2,0,"08:00","12:00","2022-08-21"
"2108AR111-001",-7.94738,43.51443,-7.92149,43.64879,M3,0,"08:00","12:00","2022-08-07"
"1803AR007-002",-6.08023,43.44165,-7.36961,43.2645,M2,0,"08:00","12:00","2022-09-07"
"1803AR007-003",-6.0806,43.44141,-7.37072,43.26428,M2,0,"08:00","12:00","2022-08-20"
"2102AR067-001",-5.90483,43.49081,-8.58354,42.26143,M3,0,"08:00","12:00","2022-08-24"
"2107AR125-001",-7.61845,43.65426,-8.25431,43.29556,M3,0,"08:00","12:00","2022-08-23"
"2107AR100-010",-7.68705,43.54699,-8.57339,43.08844,M3,0,"08:00","12:00","2022-08-09"
"2204AP004-004",-6.89079,43.51566,-8.32665,42.16824,M1,0,"08:00","12:00","2022-09-05"
"2010AR086-001",-8.21166,43.19374,-8.3264,42.16035,M3,0,"08:00","12:00","2022-08-27"
"2111AR080-001",-8.36429,43.22219,-6.33607,43.55011,M3,0,"08:00","12:00","2022-09-14"
"1908AR208-001",-7.80437,43.65063,-8.59181,42.67671,M2,0,"08:00","12:00","2022-08-06"
"1908AR260-008",-7.86357,43.69609,-8.59494,42.67693,M2,0,"08:00","12:00","2022-08-02"
"1908AR208-002",-7.80162,43.6484,-8.59199,42.67674,M2,0,"08:00","12:00","2022-09-04"
"1908AR078-003",-8.11732,43.54402,-8.5905,42.67702,M2,0,"08:00","12:00","2022-08-01"
"2205AR010-005",-7.16825,43.51212,-7.06027,43.48061,M2,0,"08:00","12:00","2022-08-31"
"2205AR045-001",-7.27101,43.27417,-7.97819,43.38548,M0,0,"08:00","12:00","2022-09-11"
"2212AP009-016",-8.93373,43.24146,-8.93703,43.0979,M1,0,"08:00","12:00","2022-09-06"
"2014AR097-001",-8.72125,42.73111,-8.74691,42.11054,M3,0,"08:00","12:00","2022-08-21"
"2011AR111-001",-8.43519,43.25819,-8.48926,42.2761,M3,0,"08:00","12:00","2022-09-06"
"2009AR054-004",-8.14637,43.37005,-8.3221,42.16154,M3,0,"08:00","12:00","2022-08-02"
"2204AR048-002",-7.01909,43.45613,-7.10007,43.46549,M2,0,"08:00","12:00","2022-08-22"
"2009AR054-005",-8.14605,43.36975,-8.32832,42.16052,M3,0,"08:00","12:00","2022-08-23"
"2006AR103-002",-7.4984,43.48094,-8.4643,42.8892,M2,0,"08:00","12:00","2022-08-12"
"2008AR016-003",-7.73472,43.71682,-8.32321,42.16736,M3,0,"08:00","12:00","2022-08-04"
"1902AR067-003",-5.99591,43.32951,-8.86434,42.00535,M2,0,"08:00","12:00","2022-08-02"
"2003AR019-001",-6.02499,43.46682,-8.22565,42.24272,M3,0,"08:00","12:00","2022-08-08"
"2008AR015-001",-7.7344,43.71697,-8.30698,42.15662,M3,0,"08:00","12:00","2022-09-07"
"1905AR164-009",-7.05517,43.50204,-8.26362,42.63844,M2,0,"08:00","12:00","2022-08-14"
"2108AR046-001",-8.2023,43.59104,-7.78121,43.65952,M2,0,"08:00","12:00","2022-08-25"
"2104AR049-006",-7.09256,43.40693,-8.77819,43.17472,M3,0,"08:00","12:00","2022-09-13"
"2208AR207-002",-7.85621,43.63827,-7.9824,43.38662,M0,0,"08:00","12:00","2022-09-08"
