"idPedido","lonCarga","latCarga","lonDescarga","latDescarga","categoria","prioridad","replanificacion","camiones","replan_time","lastDate","idCamion","startSlot","endSlot"
"1905AR064-006",-7.21164,43.40864,-7.53341,43.71965,M2,0,2,,2022-08-02 08:00:00.000,"2022-08-05",,"08:00","12:00"
"1905AR050-003",-7.21127,43.40817,-7.63289,43.60723,M2,0,36,,2022-08-19 08:00:00.000,"2022-08-28",,"08:00","12:00"
"2212AR122-002",-8.75987,43.09171,-8.64436,42.91466,M1,0,20,,2022-08-11 08:00:00.000,"2022-08-16",,"08:00","12:00"
"2207AR090-006",-7.53443,43.70558,-8.26733,42.67646,M1,0,17,,2022-08-09 14:00:00.000,"2022-08-13",,"08:00","12:00"
"2204AR014-006",-7.11124,43.41043,-7.13228,43.38178,M2,0,19,,2022-08-10 14:00:00.000,"2022-08-18",,"08:00","12:00"
"2204AR014-021",-7.11338,43.41005,-7.11344,43.41009,M2,0,30,,2022-08-16 08:00:00.000,"2022-08-21",,"08:00","12:00"
"1606AR172-003",-7.3693,43.44674,-7.32548,43.51286,M2,0,43,,2022-08-22 14:00:00.000,"2022-08-25",,"08:00","12:00"
"1905AR064-001",-7.20493,43.41482,-7.66062,43.69556,M2,0,16,,2022-08-09 08:00:00.000,"2022-08-14",,"08:00","12:00"
"2207AR087-005",-7.42059,43.64224,-8.73458,42.44344,M1,0,45,,2022-08-23 14:00:00.000,"2022-08-26",,"08:00","12:00"
"2207AR076-003",-7.53111,43.70298,-8.41293,42.54544,M1,0,13,,2022-08-07 14:00:00.000,"2022-08-16",,"08:00","12:00"
"1905AR066-006",-7.19201,43.30593,-7.52635,43.66816,M2,0,19,,2022-08-10 14:00:00.000,"2022-08-16",,"08:00","12:00"
"2109AR059-010",-7.82436,43.47339,-8.69024,42.96841,M3,0,3,,2022-08-02 14:00:00.000,"2022-08-10",,"08:00","12:00"
"2107AR142-001",-7.43641,43.65928,-8.48045,42.24388,M3,0,43,,2022-08-22 14:00:00.000,"2022-08-31",,"08:00","12:00"
"2106AR081-001",-7.28982,43.4609,-7.29898,42.88363,M3,0,37,,2022-08-19 14:00:00.000,"2022-08-27",,"08:00","12:00"
"2204AR014-010",-7.11193,43.41027,-7.12818,43.40512,M2,0,45,,2022-08-23 14:00:00.000,"2022-08-31",,"08:00","12:00"
"1905AR066-008",-7.20026,43.30271,-7.55709,43.61582,M2,0,10,,2022-08-06 08:00:00.000,"2022-08-15",,"08:00","12:00"
"2005AR050-002",-7.26042,43.50985,-7.21676,43.41839,M2,0,14,,2022-08-08 08:00:00.000,"2022-08-16",,"08:00","12:00"
"1805AR272-001",-7.2697,43.48769,-8.72743,42.02142,M2,0,27,,2022-08-14 14:00:00.000,"2022-08-19",,"08:00","12:00"
"1805AR014-001",-7.27115,43.49278,-8.69215,42.01772,M2,0,31,,2022-08-16 14:00:00.000,"2022-08-24",,"08:00","12:00"
"2107AR141-011",-7.56059,43.60677,-8.42166,42.25389,M3,0,23,,2022-08-12 14:00:00.000,"2022-08-20",,"08:00","12:00"
"1804AR124-026",-7.14045,43.40111,-8.75447,41.97899,M2,0,32,,2022-08-17 08:00:00.000,"2022-08-25",,"08:00","12:00"
"2105AR069-001",-7.23126,43.35034,-7.28549,43.40762,M3,0,16,,2022-08-09 08:00:00.000,"2022-08-13",,"08:00","12:00"
"2021AR065-013",-7.19851,43.21388,-7.48983,43.6724,M3,0,16,,2022-08-09 08:00:00.000,"2022-08-13",,"08:00","12:00"
"2005AR045-002",-7.2152,43.4,-7.21538,43.41663,M2,0,11,,2022-08-06 14:00:00.000,"2022-08-14",,"08:00","12:00"
"2204AR019-008",-7.08156,43.4225,-7.79587,43.62507,M0,0,23,,2022-08-12 14:00:00.000,"2022-08-21",,"08:00","12:00"
"2107AR141-015",-7.55594,43.60828,-8.2922,42.1813,M3,0,22,,2022-08-12 08:00:00.000,"2022-08-17",,"08:00","12:00"
"2109AR059-005",-7.82356,43.46912,-8.7085,42.95663,M3,0,14,,2022-08-08 08:00:00.000,"2022-08-15",,"08:00","12:00"
"1806AR175-008",-7.3031,43.44369,-8.73571,42.03244,M2,0,25,,2022-08-13 14:00:00.000,"2022-08-19",,"08:00","12:00"
"1707AR181-001",-7.4691,43.63365,-8.78714,42.10797,M2,0,37,,2022-08-19 14:00:00.000,"2022-08-27",,"08:00","12:00"
"1804AR127-001",-7.15307,43.38854,-8.75431,41.97876,M2,0,17,,2022-08-09 14:00:00.000,"2022-08-15",,"08:00","12:00"
"2105AR056-001",-7.1917,43.34156,-7.54033,43.61175,M3,0,39,,2022-08-20 14:00:00.000,"2022-08-25",,"08:00","12:00"
"2105AR116-001",-7.17434,43.50281,-7.20897,43.48103,M3,0,23,,2022-08-12 14:00:00.000,"2022-08-15",,"08:00","12:00"
"2107AR156-001",-7.41673,43.68224,-8.4967,42.25088,M3,0,34,,2022-08-18 08:00:00.000,"2022-08-27",,"08:00","12:00"
"2212AR121-006",-8.84505,43.08574,-8.62368,43.02384,M1,0,2,,2022-08-02 08:00:00.000,"2022-08-09",,"08:00","12:00"
"2107AR141-018",-7.55625,43.59307,-8.29209,42.18159,M3,0,21,,2022-08-11 14:00:00.000,"2022-08-18",,"08:00","12:00"
"1721AR032-006",-7.23315,43.24088,-8.70558,42.06824,M2,0,35,,2022-08-18 14:00:00.000,"2022-08-26",,"08:00","12:00"
"2106AR080-004",-7.25678,43.42514,-7.45969,43.27098,M3,0,7,,2022-08-04 14:00:00.000,"2022-08-07",,"08:00","12:00"
"2007AR208-001",-7.4658,43.63937,-8.90729,43.01692,M3,0,29,,2022-08-15 14:00:00.000,"2022-08-23",,"08:00","12:00"
"2007AR197-001",-7.34919,43.5991,-8.90687,43.01676,M3,0,20,,2022-08-11 08:00:00.000,"2022-08-15",,"08:00","12:00"
"2007AR233-002",-7.48631,43.65976,-8.90086,43.1305,M3,0,17,,2022-08-09 14:00:00.000,"2022-08-17",,"08:00","12:00"
"1821AR061-010",-7.20638,43.21353,-8.80951,43.04292,M2,0,4,,2022-08-03 08:00:00.000,"2022-08-06",,"08:00","12:00"
"2007AR211-001",-7.43021,43.60489,-8.80947,43.04351,M3,0,46,,2022-08-24 08:00:00.000,"2022-09-01",,"08:00","12:00"
"2105AR115-001",-7.19645,43.40707,-7.17767,43.51733,M3,0,46,,2022-08-24 08:00:00.000,"2022-08-31",,"08:00","12:00"
"2212AR121-007",-8.85174,43.07602,-8.62313,43.02772,M1,0,26,,2022-08-14 08:00:00.000,"2022-08-19",,"08:00","12:00"
"2107AR203-010",-7.34954,43.45892,-8.61669,42.43211,M3,0,23,,2022-08-12 14:00:00.000,"2022-08-16",,"08:00","12:00"
"2105AR115-002",-7.18554,43.40818,-7.17769,43.51518,M3,0,10,,2022-08-06 08:00:00.000,"2022-08-09",,"08:00","12:00"
"2007AR322-004",-7.6417,43.539,-8.06039,43.64223,M3,0,20,,2022-08-11 08:00:00.000,"2022-08-19",,"08:00","12:00"
"1907AR405-001",-7.38985,43.64503,-7.44775,43.5615,M2,0,22,,2022-08-12 08:00:00.000,"2022-08-16",,"08:00","12:00"
"1721AR032-007",-7.23402,43.24128,-8.67446,42.06298,M2,0,37,,2022-08-19 14:00:00.000,"2022-08-25",,"08:00","12:00"
"2011AR095-002",-8.53192,43.07931,-8.01802,43.64794,M3,0,21,,2022-08-11 14:00:00.000,"2022-08-19",,"08:00","12:00"
"1904AR079-018",-7.15859,43.39645,-8.0575,43.69069,M2,0,32,,2022-08-17 08:00:00.000,"2022-08-23",,"08:00","12:00"
"2212AR121-003",-8.84082,43.08193,-8.61054,43.01907,M1,0,23,,2022-08-12 14:00:00.000,"2022-08-17",,"08:00","12:00"
"1906AR228-001",-7.29571,43.50416,-7.32874,43.51091,M2,0,38,,2022-08-20 08:00:00.000,"2022-08-28",,"08:00","12:00"
"2105AR110-003",-7.20243,43.4134,-7.12899,43.48152,M3,0,18,,2022-08-10 08:00:00.000,"2022-08-17",,"08:00","12:00"
"1806AR178-005",-7.25127,43.42323,-8.72454,42.03249,M2,0,15,,2022-08-08 14:00:00.000,"2022-08-17",,"08:00","12:00"
"2105AR009-003",-7.07187,43.50806,-7.41301,43.66026,M3,0,18,,2022-08-10 08:00:00.000,"2022-08-19",,"08:00","12:00"
"2103AR087-001",-6.14171,43.51723,-7.40063,43.65602,M3,0,40,,2022-08-21 08:00:00.000,"2022-08-27",,"08:00","12:00"
"1807AR708-001",-7.51648,43.61511,-8.62411,42.99609,M2,0,19,,2022-08-10 14:00:00.000,"2022-08-15",,"08:00","12:00"
"2212AR095-015",-8.94139,43.00325,-8.629,42.9803,M1,0,40,,2022-08-21 08:00:00.000,"2022-08-27",,"08:00","12:00"
"2107AR117-004",-7.57594,43.57811,-7.27789,43.40078,M3,0,3,,2022-08-02 14:00:00.000,"2022-08-08",,"08:00","12:00"
"1807AR687-001",-7.39479,43.47873,-8.62913,42.98002,M2,0,11,,2022-08-06 14:00:00.000,"2022-08-10",,"08:00","12:00"
"1807AR669-002",-7.32102,43.54649,-8.62719,42.97989,M2,0,42,,2022-08-22 08:00:00.000,"2022-08-31",,"08:00","12:00"
"2004AR089-001",-7.13158,43.4221,-7.2801,43.36916,M2,0,22,,2022-08-12 08:00:00.000,"2022-08-16",,"08:00","12:00"
"2005AR127-002",-7.20438,43.31263,-7.81108,43.61901,M0,0,44,,2022-08-23 08:00:00.000,"2022-08-27",,"08:00","12:00"
"2104AR023-001",-7.10144,43.42482,-7.40033,43.65608,M3,0,30,,2022-08-16 08:00:00.000,"2022-08-24",,"08:00","12:00"
"2106AR079-001",-7.34259,43.51756,-7.40682,43.14921,M3,0,42,,2022-08-22 08:00:00.000,"2022-08-28",,"08:00","12:00"
"2004AR089-007",-7.12553,43.41982,-7.20942,43.35012,M2,0,12,,2022-08-07 08:00:00.000,"2022-08-12",,"08:00","12:00"
"2212AR095-014",-8.94279,43.00937,-8.6199,42.97654,M1,0,34,,2022-08-18 08:00:00.000,"2022-08-22",,"08:00","12:00"
"2105AR117-008",-7.23588,43.51419,-6.85078,43.49172,M2,0,3,,2022-08-02 14:00:00.000,"2022-08-06",,"08:00","12:00"
"2209AR042-008",-8.12002,43.35572,-8.66674,42.51508,M1,0,36,,2022-08-19 08:00:00.000,"2022-08-28",,"08:00","12:00"
"2207AR090-019",-7.53839,43.70705,-8.66489,42.48656,M1,0,28,,2022-08-15 08:00:00.000,"2022-08-19",,"08:00","12:00"
"2209AR042-005",-8.12025,43.35584,-8.68015,42.5083,M1,0,43,,2022-08-22 14:00:00.000,"2022-08-27",,"08:00","12:00"
"2209AR042-002",-8.12015,43.3558,-8.66342,42.4992,M1,0,30,,2022-08-16 08:00:00.000,"2022-08-21",,"08:00","12:00"
"2207AR090-026",-7.53342,43.70137,-8.68238,42.50266,M1,0,43,,2022-08-22 14:00:00.000,"2022-08-30",,"08:00","12:00"
"2212AR095-010",-8.74057,43.11272,-8.61996,42.97372,M1,0,27,,2022-08-14 14:00:00.000,"2022-08-22",,"08:00","12:00"
"2212AR095-011",-8.74062,43.11188,-8.61085,42.97788,M1,0,8,,2022-08-05 08:00:00.000,"2022-08-09",,"08:00","12:00"
"1921AR043-001",-7.45655,43.31116,-7.22861,43.5548,M2,0,35,,2022-08-18 14:00:00.000,"2022-08-24",,"08:00","12:00"
"1921AR030-004",-7.50857,43.29333,-7.2202,43.52131,M2,0,30,,2022-08-16 08:00:00.000,"2022-08-24",,"08:00","12:00"
"2105AR117-002",-7.40742,43.54701,-6.84011,43.48137,M2,0,37,,2022-08-19 14:00:00.000,"2022-08-26",,"08:00","12:00"
"2105AR117-001",-7.41703,43.54987,-6.83515,43.47384,M2,0,28,,2022-08-15 08:00:00.000,"2022-08-18",,"08:00","12:00"
"2105AR045-001",-7.21904,43.30949,-6.84225,43.4801,M2,0,30,,2022-08-16 08:00:00.000,"2022-08-23",,"08:00","12:00"
"2105AR045-002",-7.2199,43.31069,-6.84043,43.48198,M2,0,42,,2022-08-22 08:00:00.000,"2022-08-29",,"08:00","12:00"
"2105AR009-004",-7.07438,43.51826,-7.40308,43.67803,M3,0,26,,2022-08-14 08:00:00.000,"2022-08-19",,"08:00","12:00"
"2105AR045-004",-7.21732,43.30574,-6.83899,43.48193,M2,0,0,,2022-08-01 08:00:00.000,"2022-08-07",,"08:00","12:00"
"2105AR045-003",-7.22087,43.31204,-6.83872,43.48162,M2,0,16,,2022-08-09 08:00:00.000,"2022-08-13",,"08:00","12:00"
"2107AR141-031",-7.56427,43.60711,-8.74717,42.1486,M3,0,26,,2022-08-14 08:00:00.000,"2022-08-22",,"08:00","12:00"
"2105AR040-001",-7.27596,43.32136,-6.84148,43.48104,M2,0,46,,2022-08-24 08:00:00.000,"2022-08-28",,"08:00","12:00"
"2212AR093-002",-8.9442,42.97901,-8.73669,42.55931,M1,0,10,,2022-08-06 08:00:00.000,"2022-08-09",,"08:00","12:00"
"1807AR650-034",-7.59448,43.59297,-8.6244,42.97653,M2,0,12,,2022-08-07 08:00:00.000,"2022-08-15",,"08:00","12:00"
"2006AR074-002",-7.39523,43.41888,-7.81477,43.61886,M0,0,0,,2022-08-01 08:00:00.000,"2022-08-05",,"08:00","12:00"
"1904AR040-008",-7.17082,43.40031,-8.04253,43.25635,M2,0,11,,2022-08-06 14:00:00.000,"2022-08-11",,"08:00","12:00"
"2005AR114-001",-7.23539,43.50683,-8.70307,42.94508,M3,0,5,,2022-08-03 14:00:00.000,"2022-08-08",,"08:00","12:00"
"2012AR107-006",-8.86962,43.12614,-6.83337,43.4744,M2,0,42,,2022-08-22 08:00:00.000,"2022-08-31",,"08:00","12:00"
"2207AR090-017",-7.53745,43.70599,-8.66794,42.49856,M1,0,19,,2022-08-10 14:00:00.000,"2022-08-16",,"08:00","12:00"
"2207AR090-011",-7.53836,43.70641,-8.738,42.47374,M1,0,11,,2022-08-06 14:00:00.000,"2022-08-14",,"08:00","12:00"
"2106AR067-001",-7.32346,43.4629,-6.84544,43.49692,M3,0,11,,2022-08-06 14:00:00.000,"2022-08-09",,"08:00","12:00"
"2105AR012-001",-7.24698,43.39641,-6.83799,43.48276,M2,0,7,,2022-08-04 14:00:00.000,"2022-08-08",,"08:00","12:00"
"2107AR175-006",-7.46411,43.6714,-8.29982,42.135,M3,0,4,,2022-08-03 08:00:00.000,"2022-08-12",,"08:00","12:00"
"2015AR045-001",-8.6741,42.44982,-6.84098,43.48128,M2,0,23,,2022-08-12 14:00:00.000,"2022-08-15",,"08:00","12:00"
"1821AR061-003",-7.20299,43.21418,-8.76517,43.1356,M2,0,14,,2022-08-08 08:00:00.000,"2022-08-14",,"08:00","12:00"
"2005AR061-004",-7.26585,43.47992,-8.71292,42.93057,M3,0,47,,2022-08-24 14:00:00.000,"2022-08-29",,"08:00","12:00"
"1904AR140-006",-7.02307,43.41651,-7.65659,43.62497,M2,0,14,,2022-08-08 08:00:00.000,"2022-08-14",,"08:00","12:00"
"1905AR022-002",-7.07935,43.47286,-7.6356,43.63045,M2,0,10,,2022-08-06 08:00:00.000,"2022-08-10",,"08:00","12:00"
"2107AR141-016",-7.55585,43.60848,-8.29173,42.18107,M3,0,14,,2022-08-08 08:00:00.000,"2022-08-17",,"08:00","12:00"
"2207AR090-013",-7.53672,43.70687,-8.73803,42.47429,M1,0,8,,2022-08-05 08:00:00.000,"2022-08-14",,"08:00","12:00"
"2003AR085-008",-6.02724,43.4983,-7.18666,43.52174,M2,0,29,,2022-08-15 14:00:00.000,"2022-08-24",,"08:00","12:00"
"2107AR175-001",-7.45601,43.67568,-8.41711,42.22138,M3,0,31,,2022-08-16 14:00:00.000,"2022-08-25",,"08:00","12:00"
"2107AR141-026",-7.56236,43.60635,-8.29135,42.18219,M3,0,16,,2022-08-09 08:00:00.000,"2022-08-15",,"08:00","12:00"
"2103AR021-001",-6.16753,43.49381,-7.52533,43.69926,M3,0,47,,2022-08-24 14:00:00.000,"2022-08-27",,"08:00","12:00"
"2021AR092-001",-7.45891,43.30677,-7.61365,43.70872,M3,0,4,,2022-08-03 08:00:00.000,"2022-08-12",,"08:00","12:00"
"2021AR065-019",-7.20482,43.22808,-7.4905,43.67282,M3,0,39,,2022-08-20 14:00:00.000,"2022-08-26",,"08:00","12:00"
"2107AR157-002",-7.62042,43.63039,-8.59129,42.24972,M3,0,17,,2022-08-09 14:00:00.000,"2022-08-16",,"08:00","12:00"
"2207AR066-003",-7.52028,43.68035,-8.5727,42.39851,M1,0,46,,2022-08-24 08:00:00.000,"2022-09-02",,"08:00","12:00"
"2012AR107-004",-8.93893,43.08422,-6.84138,43.4817,M2,0,8,,2022-08-05 08:00:00.000,"2022-08-10",,"08:00","12:00"
"2004AR043-015",-7.11031,43.40374,-7.17042,43.50495,M2,0,0,,2022-08-01 08:00:00.000,"2022-08-07",,"08:00","12:00"
"2212AR101-002",-8.83943,43.14955,-8.61083,42.98195,M1,0,39,,2022-08-20 14:00:00.000,"2022-08-29",,"08:00","12:00"
"2021AR065-022",-7.19867,43.22749,-7.48977,43.67203,M3,0,4,,2022-08-03 08:00:00.000,"2022-08-12",,"08:00","12:00"
"2105AR117-007",-7.23446,43.51934,-7.68963,43.09011,M1,0,35,,2022-08-18 14:00:00.000,"2022-08-21",,"08:00","12:00"
"1904AR141-002",-7.11492,43.41711,-7.63546,43.62995,M2,0,22,,2022-08-12 08:00:00.000,"2022-08-18",,"08:00","12:00"
"2207AR067-001",-7.52183,43.72058,-8.55239,42.40368,M1,0,25,,2022-08-13 14:00:00.000,"2022-08-20",,"08:00","12:00"
"2004AR032-004",-7.13934,43.41514,-7.18212,43.4122,M2,0,35,,2022-08-18 14:00:00.000,"2022-08-26",,"08:00","12:00"
"2003AR084-006",-6.03724,43.48706,-7.20813,43.53103,M2,0,40,,2022-08-21 08:00:00.000,"2022-08-26",,"08:00","12:00"
"2021AR098-003",-7.21661,43.20109,-7.6697,43.57235,M3,0,35,,2022-08-18 14:00:00.000,"2022-08-26",,"08:00","12:00"
"2021AR065-021",-7.19845,43.22792,-7.47937,43.66082,M3,0,48,,2022-08-25 08:00:00.000,"2022-08-30",,"08:00","12:00"
"1904AR121-001",-7.13341,43.39427,-7.42182,43.23974,M1,0,38,,2022-08-20 08:00:00.000,"2022-08-23",,"08:00","12:00"
"1807AR650-004",-7.58758,43.5935,-8.54024,42.67354,M2,0,27,,2022-08-14 14:00:00.000,"2022-08-23",,"08:00","12:00"
"2207AR071-002",-7.48293,43.66004,-8.48385,42.4045,M1,0,45,,2022-08-23 14:00:00.000,"2022-08-29",,"08:00","12:00"
"1904AR122-017",-7.10229,43.42208,-7.55365,43.58662,M2,0,27,,2022-08-14 14:00:00.000,"2022-08-21",,"08:00","12:00"
"1606AR142-001",-7.30689,43.49141,-7.45299,43.31416,M2,0,35,,2022-08-18 14:00:00.000,"2022-08-26",,"08:00","12:00"
"1606AR071-014",-7.25527,43.4113,-7.30244,43.4902,M2,0,37,,2022-08-19 14:00:00.000,"2022-08-26",,"08:00","12:00"
"1821AR061-006",-7.20371,43.21356,-8.7623,43.13692,M2,0,15,,2022-08-08 14:00:00.000,"2022-08-11",,"08:00","12:00"
"1905AR204-001",-7.22335,43.43748,-7.51754,43.64137,M2,0,41,,2022-08-21 14:00:00.000,"2022-08-28",,"08:00","12:00"
